,date,open,high,low,close,volume,market_cap,year,month,quarter,price
7338,2019-08-24,10407.64,10418.02,9982.3,10159.96,15451030650.0,181813631752.0,2019,August,3,10241.98
7339,2019-08-23,10136.31,10442.44,10078.19,10407.97,15627023886.0,186231409722.0,2019,August,3,10266.2275
7340,2019-08-22,10142.52,10233.0,9831.46,10131.06,17097508856.0,181257125783.0,2019,August,3,10084.51
7341,2019-08-21,10764.57,10798.73,9962.72,10138.05,19473084768.0,181364502142.0,2019,August,3,10416.0175
7342,2019-08-20,10916.35,10947.04,10618.96,10763.23,15053082175.0,192530283565.0,2019,August,3,10811.395
7343,2019-08-19,10350.28,10916.05,10313.2,10916.05,16038264603.0,195243306008.0,2019,August,3,10623.895
7344,2019-08-18,10233.01,10487.07,10119.09,10345.81,12999813869.0,185022920955.0,2019,August,3,10296.244999999999
7345,2019-08-17,10358.72,10452.62,10086.7,10231.74,13778035685.0,182966857173.0,2019,August,3,10282.445
7346,2019-08-16,10319.42,10524.35,9855.48,10374.34,20228207096.0,185500055339.0,2019,August,3,10268.3975
7347,2019-08-15,10038.42,10437.41,9675.32,10311.55,22899115082.0,184357666577.0,2019,August,3,10115.675
7348,2019-08-14,10889.49,10889.56,10028.14,10051.7,19990838300.0,179692803424.0,2019,August,3,10464.7225
7349,2019-08-13,11385.05,11420.05,10830.33,10895.83,16681503537.0,194762696644.0,2019,August,3,11132.814999999999
7350,2019-08-12,11528.19,11528.19,11320.95,11382.62,13647198229.0,203441494985.0,2019,August,3,11439.9875
7351,2019-08-11,11349.74,11523.58,11248.29,11523.58,15774371518.0,205941632235.0,2019,August,3,11411.2975
7352,2019-08-10,11861.56,11915.66,11323.9,11354.02,18125355447.0,202890020455.0,2019,August,3,11613.785000000002
7353,2019-08-09,11953.47,11970.46,11709.75,11862.94,18339989960.0,211961319133.0,2019,August,3,11874.154999999999
7354,2019-08-08,11954.04,11979.42,11556.17,11966.41,19481591730.0,213788089212.0,2019,August,3,11864.01
7355,2019-08-07,11476.19,12036.99,11433.7,11941.97,22194988641.0,213330426789.0,2019,August,3,11722.212500000001
7356,2019-08-06,11811.55,12273.82,11290.73,11478.17,23635107660.0,205023347814.0,2019,August,3,11713.567500000001
7357,2019-08-05,10960.74,11895.09,10960.74,11805.65,23875988832.0,210848822060.0,2019,August,3,11405.554999999998
7358,2019-08-04,10821.63,11009.21,10620.28,10970.18,16530894787.0,195907875403.0,2019,August,3,10855.324999999999
7359,2019-08-03,10519.28,10946.78,10503.5,10821.73,15352685061.0,193233960601.0,2019,August,3,10697.8225
7360,2019-08-02,10402.04,10657.95,10371.01,10518.17,17489094082.0,187791090996.0,2019,August,3,10487.2925
7361,2019-08-01,10077.44,10446.92,9922.02,10399.67,17165337858.0,185653203391.0,2019,August,3,10211.5125
7362,2019-07-31,9604.05,10085.63,9598.1,10085.63,16631520648.0,180028959603.0,2019,July,3,9843.352499999999
7363,2019-07-30,9522.33,9701.76,9437.34,9607.42,13829811132.0,171472452506.0,2019,July,3,9567.212500000001
7364,2019-07-29,9548.18,9681.65,9472.95,9519.15,13791445323.0,169880343827.0,2019,July,3,9555.482500000002
7365,2019-07-28,9491.63,9575.55,9252.3,9552.86,13738687093.0,170461958074.0,2019,July,3,9468.085
7366,2019-07-27,9871.16,10167.32,9411.52,9477.68,16817809536.0,169099540423.0,2019,July,3,9731.92
7367,2019-07-26,9913.13,9916.52,9717.98,9870.3,14495714483.0,176085968354.0,2019,July,3,9854.4825
7368,2019-07-25,9809.1,10154.25,9773.96,9911.84,15821952090.0,176806451137.0,2019,July,3,9912.2875
7369,2019-07-24,9887.73,9908.8,9614.31,9811.93,17398734322.0,175005760794.0,2019,July,3,9805.6925
7370,2019-07-23,10346.75,10346.75,9883.6,9900.77,17851916995.0,176572890702.0,2019,July,3,10119.4675
7371,2019-07-22,10596.95,10651.79,10154.92,10343.11,16334414913.0,184443440748.0,2019,July,3,10436.692500000001
7372,2019-07-21,10777.53,10841.89,10389.6,10599.11,17130580467.0,188987475962.0,2019,July,3,10652.0325
7373,2019-07-20,10525.82,11048.66,10451.28,10767.14,20206615155.0,191963691255.0,2019,July,3,10698.225
7374,2019-07-19,10653.96,10716.98,10229.63,10530.73,20727426310.0,187725578628.0,2019,July,3,10532.824999999999
7375,2019-07-18,9698.5,10736.84,9376.8,10666.48,25187024648.0,190129918121.0,2019,July,3,10119.654999999999
7376,2019-07-17,9471.21,9963.13,9163.13,9693.8,24569921549.0,172777250515.0,2019,July,3,9572.8175
7377,2019-07-16,10896.65,10996.63,9448.11,9477.64,24151199070.0,168908640950.0,2019,July,3,10204.7575
7378,2019-07-15,10257.84,11052.77,9992.01,10895.09,25384047207.0,194147627475.0,2019,July,3,10549.4275
7379,2019-07-14,11381.02,11451.2,10234.58,10256.06,22486000001.0,182741933552.0,2019,July,3,10830.715
7380,2019-07-13,11813.13,11841.96,10908.48,11392.38,21042616384.0,202968191001.0,2019,July,3,11488.9875
7381,2019-07-12,11354.3,11905.49,11179.14,11815.99,23534692797.0,210494417832.0,2019,July,3,11563.73
7382,2019-07-11,12139.71,12144.62,11158.92,11358.66,28595327690.0,202324174692.0,2019,July,3,11700.477499999999
7383,2019-07-10,12571.54,13129.53,11710.98,12156.51,33627574244.0,216515999522.0,2019,July,3,12392.14
7384,2019-07-09,12284.33,12779.13,12233.26,12573.81,28167921523.0,223928128583.0,2019,July,3,12467.6325
7385,2019-07-08,11446.6,12345.83,11393.37,12285.96,23482551458.0,218778355444.0,2019,July,3,11867.94
7386,2019-07-07,11217.62,11541.62,11148.8,11450.85,19369044277.0,203881891346.0,2019,July,3,11339.7225
7387,2019-07-06,10982.54,11620.97,10982.54,11208.55,21092024306.0,199546110914.0,2019,July,3,11198.65
7388,2019-07-05,11203.1,11395.66,10874.96,10978.46,23838480210.0,195424678267.0,2019,July,3,11113.045
7389,2019-07-04,11972.72,12006.08,11166.57,11215.44,25920294033.0,199617404432.0,2019,July,3,11590.2025
7390,2019-07-03,10818.16,11968.08,10818.16,11961.27,30796494294.0,212867079175.0,2019,July,3,11391.4175
7391,2019-07-02,10588.68,10912.19,9737.88,10801.68,31015895223.0,192206536806.0,2019,July,3,10510.1075
7392,2019-07-01,10796.93,11206.44,10089.31,10583.13,29378589324.0,188297637574.0,2019,July,3,10668.9525
7393,2019-06-30,11931.99,12178.38,10799.01,10817.16,27256473494.0,192442065810.0,2019,June,2,11431.635
7394,2019-06-29,12400.76,12400.91,11508.38,11959.37,29923961128.0,212739713110.0,2019,June,2,12067.355
7395,2019-06-28,11162.17,12445.18,10914.49,12407.33,35087757766.0,220681459666.0,2019,June,2,11732.2925
7396,2019-06-27,13017.12,13311.14,10491.85,11182.81,39977475223.0,198878940964.0,2019,June,2,12000.73
7397,2019-06-26,11778.58,13796.49,11755.6,13016.23,45105733173.0,231462117209.0,2019,June,2,12586.724999999999
7398,2019-06-25,11007.2,11790.92,11007.2,11790.92,24879684533.0,209647943360.0,2019,June,2,11399.060000000001
7399,2019-06-24,10853.74,11065.9,10610.43,11011.1,19271652365.0,195762668679.0,2019,June,2,10885.2925
7400,2019-06-23,10696.69,11246.14,10556.1,10855.37,20998326502.0,192970090355.0,2019,June,2,10838.574999999999
7401,2019-06-22,10175.92,11157.35,10107.04,10701.69,29995204861.0,190214124824.0,2019,June,2,10535.5
7402,2019-06-21,9525.07,10144.56,9525.07,10144.56,20624008643.0,180293241528.0,2019,June,2,9834.814999999999
7403,2019-06-20,9273.06,9594.42,9232.48,9527.16,17846823784.0,169304784791.0,2019,June,2,9406.779999999999
7404,2019-06-19,9078.73,9299.62,9070.4,9273.52,15546809946.0,164780855869.0,2019,June,2,9180.567500000001
7405,2019-06-18,9335.47,9348.37,9004.9,9081.76,15848210536.0,161353637186.0,2019,June,2,9192.625
7406,2019-06-17,8988.92,9416.41,8988.92,9320.35,15562951919.0,165573372261.0,2019,June,2,9178.65
